"","Especie","Registros","GBIF","CBC","Reino","Filo","Clase","Orden","Familia","Género"
"3893","Cyathea conjugata",28,"https://www.gbif.org/species/3599150",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3894","Cyathea corallifera",2,"https://www.gbif.org/species/3599042",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3895","Cyathea delgadii",11,"https://www.gbif.org/species/3598563",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3896","Cyathea divergens",17,"https://www.gbif.org/species/7314534",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3897","Cyathea ewanii",1,"https://www.gbif.org/species/3600675",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3898","Cyathea frigida",20,"https://www.gbif.org/species/3600330","https://catalogo.biodiversidad.co/file/56ddf9ad83c45700544e3be8/summary","Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3899","Cyathea frondosa",19,"https://www.gbif.org/species/3600315",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3900","Cyathea fulva",11,"https://www.gbif.org/species/7314683",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3901","Cyathea horrida",64,"https://www.gbif.org/species/2650326",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3902","Cyathea lindeniana",4,"https://www.gbif.org/species/3600728",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3903","Cyathea lindigii",1,"https://www.gbif.org/species/3600716",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3904","Cyathea meridensis",8,"https://www.gbif.org/species/3600128",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3905","Cyathea microdonta",146,"https://www.gbif.org/species/3600004","https://catalogo.biodiversidad.co/file/56ddfeaf83c45700544e3beb/summary","Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3906","Cyathea multiflora",2,"https://www.gbif.org/species/3599637",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3907","Cyathea pallescens",18,"https://www.gbif.org/species/3598890",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3908","Cyathea parvifolia",3,"https://www.gbif.org/species/3598747",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3909","Cyathea patens",1,"https://www.gbif.org/species/3598659",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3910","Cyathea pauciflora",1,"https://www.gbif.org/species/3598632",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3911","Cyathea planadae",12,"https://www.gbif.org/species/3598208",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3912","Cyathea poeppigii",4,"https://www.gbif.org/species/3598161",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3913","Cyathea pungens",5,"https://www.gbif.org/species/2650287",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3914","Cyathea rufa",3,"https://www.gbif.org/species/3599925",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3915","Cyathea speciosa",1,"https://www.gbif.org/species/3599155",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3916","Cyathea squamata",2,"https://www.gbif.org/species/3599085",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3917","Cyathea squamipes",112,"https://www.gbif.org/species/3599056",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3918","Cyathea straminea",3,"https://www.gbif.org/species/3598909",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3919","Cyathea tryonorum",33,"https://www.gbif.org/species/3598212",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","Cyathea"
"3920","Cyathicula dolosella",1,"https://www.gbif.org/species/2582578",NA,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Cyathicula"
"3921","Cyathula achyranthoides",9,"https://www.gbif.org/species/7323766",NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Cyathula"
"3922","Cyathula prostrata",11,"https://www.gbif.org/species/5384314",NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Cyathula"
"3923","Cyathus olla",5,"https://www.gbif.org/species/5243125",NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Cyathus"
"3924","Cyathus striatus",7,"https://www.gbif.org/species/5243151",NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Cyathus"
"3925","Cybdelis mnasylus",9,"https://www.gbif.org/species/1894927",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Cybdelis"
"3926","Cybianthus bogotensis",1,"https://www.gbif.org/species/3718892",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Cybianthus"
"3927","Cybianthus fulvopulverulentus",2,"https://www.gbif.org/species/7331175",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Cybianthus"
"3928","Cybianthus iteoides",123,"https://www.gbif.org/species/3722754",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Cybianthus"
"3929","Cybianthus laurifolius",12,"https://www.gbif.org/species/3722623",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Cybianthus"
"3930","Cybianthus marginatus",17,"https://www.gbif.org/species/3722432",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Cybianthus"
"3931","Cybianthus nevadensis",23,"https://www.gbif.org/species/3722282",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Cybianthus"
"3932","Cybianthus pastensis",10,"https://www.gbif.org/species/3722202",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Cybianthus"
"3933","Cybianthus peruvianus",2,"https://www.gbif.org/species/3722165",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Cybianthus"
"3934","Cybianthus poeppigii",2,"https://www.gbif.org/species/3722131",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Cybianthus"
"3935","Cybianthus schlimii",16,"https://www.gbif.org/species/3721950",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Cybianthus"
"3936","Cybianthus venezuelanus",7,"https://www.gbif.org/species/3721709",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Cybianthus"
"3937","Cyclanthera brachybotrys",2,"https://www.gbif.org/species/7317964",NA,"Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Cyclanthera"
"3938","Cyclanthera brachystachya",19,"https://www.gbif.org/species/3625789",NA,"Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Cyclanthera"
"3939","Cyclanthera carthagenensis",3,"https://www.gbif.org/species/7388962",NA,"Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Cyclanthera"
"3940","Cyclanthera filiformis",1,"https://www.gbif.org/species/7538913",NA,"Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Cyclanthera"
"3941","Cyclanthera pedata",19,"https://www.gbif.org/species/2874529",NA,"Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Cyclanthera"
"3942","Cyclanthera peruana",11,"https://www.gbif.org/species/7684259",NA,"Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Cyclanthera"
"3943","Cyclanthus bipartitus",20,"https://www.gbif.org/species/2861108",NA,"Plantae","Tracheophyta","Liliopsida","Pandanales","Cyclanthaceae","Cyclanthus"
"3944","Cyclarhis gujanensis",5719,"https://www.gbif.org/species/2487404","https://catalogo.biodiversidad.co/file/56e7a00183c45700544e4254/summary","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Cyclarhis"
"3945","Cyclarhis nigrirostris",342,"https://www.gbif.org/species/2487405",NA,"Animalia","Chordata","Aves","Passeriformes","Vireonidae","Cyclarhis"
"3946","Cyclocephala amazona",82,"https://www.gbif.org/species/4995012",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3947","Cyclocephala brevis",2,"https://www.gbif.org/species/4994987",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3948","Cyclocephala brittoni",7,"https://www.gbif.org/species/4994768",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3949","Cyclocephala dalensi",1,"https://www.gbif.org/species/4995121",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3950","Cyclocephala discicollis",8,"https://www.gbif.org/species/4995169",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3951","Cyclocephala discolor",2,"https://www.gbif.org/species/4995154",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3952","Cyclocephala epistomalis",1,"https://www.gbif.org/species/4994990",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3953","Cyclocephala fulgurata",47,"https://www.gbif.org/species/4995143",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3954","Cyclocephala gravis",3,"https://www.gbif.org/species/4995075",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3955","Cyclocephala gregaria",7,"https://www.gbif.org/species/4995057",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3956","Cyclocephala longa",3,"https://www.gbif.org/species/4994970",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3957","Cyclocephala lunulata",5,"https://www.gbif.org/species/4994907",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3958","Cyclocephala melanocephala",50,"https://www.gbif.org/species/4994793",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3959","Cyclocephala minuta",1,"https://www.gbif.org/species/4995051",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3960","Cyclocephala pardolocarnoi",1,"https://www.gbif.org/species/4995162",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3961","Cyclocephala prelli",3,"https://www.gbif.org/species/4994760",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3962","Cyclocephala prolongata",2,"https://www.gbif.org/species/4995026",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3963","Cyclocephala puncticollis",2,"https://www.gbif.org/species/4994900",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3964","Cyclocephala rotundipenis",2,"https://www.gbif.org/species/4995102",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3965","Cyclocephala rustica",1,"https://www.gbif.org/species/4994928",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3966","Cyclocephala sanguinicollis",1,"https://www.gbif.org/species/4995103",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3967","Cyclocephala sexpunctata",29,"https://www.gbif.org/species/4995035",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3968","Cyclocephala spilopyga",2,"https://www.gbif.org/species/4994909",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3969","Cyclocephala stictica",1,"https://www.gbif.org/species/4994886",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3970","Cyclocephala tutilina",2,"https://www.gbif.org/species/4994738",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3971","Cyclocephala weidneri",5,"https://www.gbif.org/species/4994921",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Cyclocephala"
"3972","Cyclocybe cylindracea",2,"https://www.gbif.org/species/8138987",NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tubariaceae","Cyclocybe"
"3973","Cyclocybe parasitica",1,"https://www.gbif.org/species/8215334",NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tubariaceae","Cyclocybe"
"3974","Cyclodictyon albicans",36,"https://www.gbif.org/species/5279988",NA,"Plantae","Bryophyta","Bryopsida","Hookeriales","Pilotrichaceae","Cyclodictyon"
"3975","Cyclodictyon castaneum",2,"https://www.gbif.org/species/5279976",NA,"Plantae","Bryophyta","Bryopsida","Hookeriales","Pilotrichaceae","Cyclodictyon"
"3976","Cyclodictyon obscurifolium",7,"https://www.gbif.org/species/5279964",NA,"Plantae","Bryophyta","Bryopsida","Hookeriales","Pilotrichaceae","Cyclodictyon"
"3977","Cyclodictyon roridum",28,"https://www.gbif.org/species/5280007",NA,"Plantae","Bryophyta","Bryopsida","Hookeriales","Pilotrichaceae","Cyclodictyon"
"3978","Cyclodictyon rubrisetum",9,"https://www.gbif.org/species/5279992",NA,"Plantae","Bryophyta","Bryopsida","Hookeriales","Pilotrichaceae","Cyclodictyon"
"3979","Cycloglypha enega",3,"https://www.gbif.org/species/1948529",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Cycloglypha"
"3980","Cycloneda emarginata",11,"https://www.gbif.org/species/11732068",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Cycloneda"
"3981","Cycloneda sanguinea",10,"https://www.gbif.org/species/1043105",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Cycloneda"
"3982","Cyclopeltis semicordata",2,"https://www.gbif.org/species/2651219",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Lomariopsidaceae","Cyclopeltis"
"3983","Cyclopogon comosus",2,"https://www.gbif.org/species/2807741",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Cyclopogon"
"3984","Cyclopogon elatus",23,"https://www.gbif.org/species/2807711",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Cyclopogon"
"3985","Cyclopogon ellipticus",1,"https://www.gbif.org/species/8604842",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Cyclopogon"
"3986","Cyclopogon laxiflorus",1,"https://www.gbif.org/species/2807587",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Cyclopogon"
"3987","Cyclopogon lindleyanus",1,"https://www.gbif.org/species/2807543",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Cyclopogon"
"3988","Cyclopogon millei",1,"https://www.gbif.org/species/2807675",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Cyclopogon"
"3989","Cyclopogon multiflorus",1,"https://www.gbif.org/species/2807734",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Cyclopogon"
"3990","Cyclopogon peruvianus",18,"https://www.gbif.org/species/2807571",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Cyclopogon"
"3991","Cyclopogon plantagineus",4,"https://www.gbif.org/species/2807535",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Cyclopogon"
"3992","Cyclopogon spiranthoides",1,"https://www.gbif.org/species/2807581",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Cyclopogon"
"3993","Cyclosa bifurcata",4,"https://www.gbif.org/species/2158258",NA,"Animalia","Arthropoda","Arachnida","Araneae","Araneidae","Cyclosa"
"3994","Cyclosa pedropalo",2,"https://www.gbif.org/species/2158145",NA,"Animalia","Arthropoda","Arachnida","Araneae","Araneidae","Cyclosa"
"3995","Cyclosa triquetra",2,"https://www.gbif.org/species/2158171",NA,"Animalia","Arthropoda","Arachnida","Araneae","Araneidae","Cyclosa"
"3996","Cyclosorus acuminatus",1,"https://www.gbif.org/species/4082137",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Thelypteridaceae","Cyclosorus"
"3997","Cyclosorus interruptus",3,"https://www.gbif.org/species/7708168",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Thelypteridaceae","Cyclosorus"
"3998","Cyclospermum leptophyllum",40,"https://www.gbif.org/species/5371894",NA,"Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Cyclospermum"
"3999","Cyclosternum schmardae",3,"https://www.gbif.org/species/5170439",NA,"Animalia","Arthropoda","Arachnida","Araneae","Theraphosidae","Cyclosternum"
"4000","Cyclotella meneghiniana",8,"https://www.gbif.org/species/3193150",NA,"Chromista","Ochrophyta","Bacillariophyceae","Thalassiosirales","Stephanodiscaceae","Cyclotella"
"4001","Cycnus phaleros",4,"https://www.gbif.org/species/5139928",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Cycnus"
"4002","Cydonia oblonga",1,"https://www.gbif.org/species/5362215",NA,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Cydonia"
"4003","Cylindrobasidium torrendii",2,"https://www.gbif.org/species/2537047",NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Cylindrobasidium"
"4004","Cymatothes nebulosus",2,"https://www.gbif.org/species/7832392",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Cymatothes"
"4005","Cymbalaria muralis",90,"https://www.gbif.org/species/7331860",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Cymbalaria"
"4006","Cymbella minuta",3,"https://www.gbif.org/species/7547577",NA,"Chromista","Ochrophyta","Bacillariophyceae","Cymbellales","Cymbellaceae","Cymbella"
"4007","Cymbella turgidula",2,"https://www.gbif.org/species/5266926",NA,"Chromista","Ochrophyta","Bacillariophyceae","Cymbellales","Cymbellaceae","Cymbella"
"4008","Cymbilaimus lineatus",21,"https://www.gbif.org/species/2490079",NA,"Animalia","Chordata","Aves","Passeriformes","Thamnophilidae","Cymbilaimus"
"4009","Cymbopogon citratus",5,"https://www.gbif.org/species/2705275","https://catalogo.biodiversidad.co/file/56de0ef983c45700544e3bf5/summary","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cymbopogon"
"4010","Cynara cardunculus",3,"https://www.gbif.org/species/3112364",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cynara"
"4011","Cynara scolymus",16,"https://www.gbif.org/species/3112361",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cynara"
"4012","Cynodon dactylon",8,"https://www.gbif.org/species/6109637","https://catalogo.biodiversidad.co/file/56e33bdc83c45700544e3db9/summary","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cynodon"
"4013","Cynodon nlemfuensis",1,"https://www.gbif.org/species/5289802","https://catalogo.biodiversidad.co/file/56e77b6483c45700544e4035/summary","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cynodon"
"4014","Cynodonichthys magdalenae",7,"https://www.gbif.org/species/7193379","https://catalogo.biodiversidad.co/file/596fa9de2f4fd7bc7f3a5d8a/summary","Animalia","Chordata",NA,"Cyprinodontiformes","Rivulidae","Cynodonichthys"
"4015","Cynodontium brasiliense",9,"https://www.gbif.org/species/12190087",NA,"Plantae","Bryophyta","Bryopsida","Dicranales","Rhabdoweisiaceae","Cynodontium"
"4016","Cynodontium erosum",14,"https://www.gbif.org/species/12170976",NA,"Plantae","Bryophyta","Bryopsida","Dicranales","Rhabdoweisiaceae","Cynodontium"
"4017","Cynoglossum amabile",11,"https://www.gbif.org/species/2925816",NA,"Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","Cynoglossum"
"4018","Cynomops planirostris",1,"https://www.gbif.org/species/4266507",NA,"Animalia","Chordata","Mammalia","Chiroptera","Molossidae","Cynomops"
"4019","Cynophalla amplissima",7,"https://www.gbif.org/species/6069330",NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Capparaceae","Cynophalla"
"4020","Cynophalla flexuosa",29,"https://www.gbif.org/species/3873525",NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Capparaceae","Cynophalla"
"4021","Cynophalla polyantha",9,"https://www.gbif.org/species/3873464",NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Capparaceae","Cynophalla"
"4022","Cynophalla sessilis",4,"https://www.gbif.org/species/3873433","https://catalogo.biodiversidad.co/file/56702b05f289f5a40c0cd2a2/summary","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Capparaceae","Cynophalla"
"4023","Cynorta refracta",2,"https://www.gbif.org/species/6907472",NA,"Animalia","Arthropoda","Arachnida","Opiliones","Cosmetidae","Cynorta"
"4024","Cyperus aggregatus",24,"https://www.gbif.org/species/2713662",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4025","Cyperus articulatus",1,"https://www.gbif.org/species/2713638","https://catalogo.biodiversidad.co/file/56de191e83c45700544e3bfd/summary","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4026","Cyperus aschenbornianus",1,"https://www.gbif.org/species/2730560",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4027","Cyperus bipartitus",5,"https://www.gbif.org/species/2730335",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4028","Cyperus brevifolius",6,"https://www.gbif.org/species/2718767",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4029","Cyperus columbiensis",6,"https://www.gbif.org/species/2713459",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4030","Cyperus compactus",17,"https://www.gbif.org/species/2714640",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4031","Cyperus compressus",1,"https://www.gbif.org/species/2713479",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4032","Cyperus diffusus",1,"https://www.gbif.org/species/2713932",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4033","Cyperus drummondii",1,"https://www.gbif.org/species/2715031",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4034","Cyperus esculentus",1,"https://www.gbif.org/species/2716226",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4035","Cyperus ferax",3,"https://www.gbif.org/species/2713518",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4036","Cyperus flavescens",1,"https://www.gbif.org/species/2730906",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4037","Cyperus flavus",1,"https://www.gbif.org/species/2713689",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4038","Cyperus fuscus",3,"https://www.gbif.org/species/2716489",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4039","Cyperus haspan",2,"https://www.gbif.org/species/2715828",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4040","Cyperus hermaphroditus",13,"https://www.gbif.org/species/2716750",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4041","Cyperus hortensis",11,"https://www.gbif.org/species/9478376",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4042","Cyperus lanceolatus",3,"https://www.gbif.org/species/2730652",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4043","Cyperus laxus",8,"https://www.gbif.org/species/2713471",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4044","Cyperus ligularis",22,"https://www.gbif.org/species/2715068",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4045","Cyperus luzulae",24,"https://www.gbif.org/species/2714679",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4046","Cyperus manimae",1,"https://www.gbif.org/species/2714328",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4047","Cyperus melanostachyus",18,"https://www.gbif.org/species/2730508",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4048","Cyperus miliifolius",4,"https://www.gbif.org/species/2714583",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4049","Cyperus mindorensis",1,"https://www.gbif.org/species/9452699",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4050","Cyperus mutisii",4,"https://www.gbif.org/species/2715810",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4051","Cyperus odoratus",12,"https://www.gbif.org/species/2715219",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4052","Cyperus papyrus",31,"https://www.gbif.org/species/2716311","https://catalogo.biodiversidad.co/file/56de221683c45700544e3c03/summary","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4053","Cyperus paramoensis",3,"https://www.gbif.org/species/8885545",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4054","Cyperus rotundus",3,"https://www.gbif.org/species/2714818",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4055","Cyperus sellowianus",5,"https://www.gbif.org/species/2711755",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4056","Cyperus simplex",1,"https://www.gbif.org/species/2715022",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4057","Cyperus strigosus",2,"https://www.gbif.org/species/2716719",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4058","Cyperus surinamensis",2,"https://www.gbif.org/species/2715295",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4059","Cyperus tabina",2,"https://www.gbif.org/species/2714022",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4060","Cyperus tenuis",2,"https://www.gbif.org/species/2714958",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
"4061","Cyperus thyrsiflorus",1,"https://www.gbif.org/species/2715400",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus"
