"","Especie","Registros","GBIF","CBC","Reino","Filo","Clase","Orden","Familia","Género"
"3239","Deschampsia podophora",11,"https://www.gbif.org/species/9248083",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Deschampsia"
"3240","Descurainia cleefii",2,"https://www.gbif.org/species/9164271",NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Descurainia"
"3241","Descurainia myriophylla",2,"https://www.gbif.org/species/3044273",NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Descurainia"
"3242","Desfontainia spinosa",5,"https://www.gbif.org/species/6388688","https://catalogo.biodiversidad.co/file/56cfbad43c16479905cba7fc/summary","Plantae","Tracheophyta","Magnoliopsida","Bruniales","Columelliaceae","Desfontainia"
"3243","Desfontainia splendens",12,"https://www.gbif.org/species/4019458","https://catalogo.biodiversidad.co/file/56cfbbf73c16479905cba7fd/summary","Plantae","Tracheophyta","Magnoliopsida","Bruniales","Columelliaceae","Desfontainia"
"3244","Desmanthus leptophyllus",12,"https://www.gbif.org/species/5360065",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmanthus"
"3245","Desmanthus virgatus",10,"https://www.gbif.org/species/5360097",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmanthus"
"3246","Desmodium angustifolium",4,"https://www.gbif.org/species/2967084",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3247","Desmodium axillare",10,"https://www.gbif.org/species/2967365",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3248","Desmodium cajanifolium",10,"https://www.gbif.org/species/2967395",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3249","Desmodium campyloclados",2,"https://www.gbif.org/species/2967516",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3250","Desmodium caripense",2,"https://www.gbif.org/species/2967099",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3251","Desmodium distortum",1,"https://www.gbif.org/species/2967251",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3252","Desmodium glabrum",2,"https://www.gbif.org/species/2967503",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3253","Desmodium incanum",22,"https://www.gbif.org/species/2967060",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3254","Desmodium intortum",14,"https://www.gbif.org/species/2967846","https://catalogo.biodiversidad.co/file/595460722f4fd7bc7f39a7cf/summary","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3255","Desmodium molliculum",37,"https://www.gbif.org/species/2967640",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3256","Desmodium orbiculare",2,"https://www.gbif.org/species/2967662",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3257","Desmodium pachyrhizum",2,"https://www.gbif.org/species/7275099",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3258","Desmodium procumbens",1,"https://www.gbif.org/species/2967327",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3259","Desmodium scorpiurus",2,"https://www.gbif.org/species/2967724",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3260","Desmodium sericophyllum",7,"https://www.gbif.org/species/2967737",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3261","Desmodium tortuosum",5,"https://www.gbif.org/species/2967221",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3262","Desmodium uncinatum",4,"https://www.gbif.org/species/2967319",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"3263","Desmodus rotundus",97,"https://www.gbif.org/species/2433298","https://catalogo.biodiversidad.co/file/56c4ed78f0106c67230e7390/summary","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Desmodus"
"3264","Desmoncus orthacanthos",3,"https://www.gbif.org/species/2738754","https://catalogo.biodiversidad.co/file/56df02ba83c45700544e3c43/summary","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Desmoncus"
"3265","Desmoscelis villosa",2,"https://www.gbif.org/species/3870308",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","Desmoscelis"
"3266","Desulfomicrobium thermophilum",6,"https://www.gbif.org/species/8415359",NA,"Bacteria","Desulfobacterota_I","Desulfovibrionia","Desulfovibrionales","Desulfomicrobiaceae","Desulfomicrobium"
"3267","Desulfosoma caldarium",2,"https://www.gbif.org/species/7365114",NA,"Bacteria","Desulfobacterota","Syntrophobacteria","Syntrophobacterales","Syntrophobacteraceae","Desulfosoma"
"3268","Desulfovibrio dechloracetivorans",1,"https://www.gbif.org/species/3220437",NA,"Bacteria","Desulfobacterota_I","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"3269","Desulfovibrio vulgaris",1,"https://www.gbif.org/species/3220452",NA,"Bacteria","Desulfobacterota_I","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"3270","Dethiosulfovibrio salsuginis",2,"https://www.gbif.org/species/7771531",NA,"Bacteria","Synergistota","Synergistia","Synergistales","Dethiosulfovibrionaceae","Dethiosulfovibrio"
"3271","Diabrotica decempunctata",11,"https://www.gbif.org/species/9068805",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Diabrotica"
"3272","Diaethria anna",3,"https://www.gbif.org/species/1909064",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Diaethria"
"3273","Diaethria clymena",5,"https://www.gbif.org/species/1909019",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Diaethria"
"3274","Diaethria euclides",7,"https://www.gbif.org/species/1908984",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Diaethria"
"3275","Diaethria gabaza",3,"https://www.gbif.org/species/1909016",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Diaethria"
"3276","Diaethria marchalii",3,"https://www.gbif.org/species/1909041",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Diaethria"
"3277","Diaethria neglecta",3,"https://www.gbif.org/species/1909004",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Diaethria"
"3278","Dialium guianense",1,"https://www.gbif.org/species/2971008",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Dialium"
"3279","Dialonectria episphaeria",1,"https://www.gbif.org/species/2563463",NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Dialonectria"
"3280","Dianthus armeria",1,"https://www.gbif.org/species/3085413",NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Dianthus"
"3281","Dianthus barbatus",1,"https://www.gbif.org/species/3085421",NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Dianthus"
"3282","Diaphanosoma birgei",1,"https://www.gbif.org/species/5180002",NA,"Animalia","Arthropoda","Branchiopoda","Diplostraca","Sididae","Diaphanosoma"
"3283","Diastatea micrantha",1,"https://www.gbif.org/species/3158867",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Diastatea"
"3284","Diastema affine",2,"https://www.gbif.org/species/5590769",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Gesneriaceae","Diastema"
"3285","Diastema racemiferum",7,"https://www.gbif.org/species/5590420",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Gesneriaceae","Diastema"
"3286","Dibaeis absoluta",6,"https://www.gbif.org/species/2600365",NA,"Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Dibaeis"
"3287","Dibaeis arcuata",5,"https://www.gbif.org/species/3412308",NA,"Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Dibaeis"
"3288","Dibaeis baeomyces",3,"https://www.gbif.org/species/8690616",NA,"Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Dibaeis"
"3289","Dibaeis columbiana",2,"https://www.gbif.org/species/3412301",NA,"Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Dibaeis"
"3290","Dicaearchus cribellatus",3,"https://www.gbif.org/species/1709300",NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Dicaearchus"
"3291","Dicephalospora rufocornea",10,"https://www.gbif.org/species/2580363",NA,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Dicephalospora"
"3292","Dichaea chasei",1,"https://www.gbif.org/species/2789923",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Dichaea"
"3293","Dichaea latifolia",7,"https://www.gbif.org/species/2789972",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Dichaea"
"3294","Dichaea morrisii",3,"https://www.gbif.org/species/2789909",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Dichaea"
"3295","Dichaea panamensis",3,"https://www.gbif.org/species/2789905",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Dichaea"
"3296","Dichanthelium aciculare",2,"https://www.gbif.org/species/2702633",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Dichanthelium"
"3297","Dichanthelium acuminatum",4,"https://www.gbif.org/species/2702678",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Dichanthelium"
"3298","Dichanthelium viscidellum",15,"https://www.gbif.org/species/4133303",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Dichanthelium"
"3299","Dichanthium annulatum",1,"https://www.gbif.org/species/2702446",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Dichanthium"
"3300","Dichapetalum amazonicum",1,"https://www.gbif.org/species/4195816",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Dichapetalaceae","Dichapetalum"
"3301","Dichapetalum spruceanum",5,"https://www.gbif.org/species/4195857","https://catalogo.biodiversidad.co/file/5924c8b5f827bf0c0cedb3b3/summary","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Dichapetalaceae","Dichapetalum"
"3302","Dichondra repens",1,"https://www.gbif.org/species/2928667",NA,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","Dichondra"
"3303","Dichorisandra hexandra",13,"https://www.gbif.org/species/2763634",NA,"Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","Dichorisandra"
"3304","Dichotomius agenor",8,"https://www.gbif.org/species/1093029","https://catalogo.biodiversidad.co/file/56e76e3d83c45700544e3ff0/summary","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Dichotomius"
"3305","Dichotomius belus",4,"https://www.gbif.org/species/1092945","https://catalogo.biodiversidad.co/file/56e76e7e83c45700544e3ff1/summary","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Dichotomius"
"3306","Dichotomius compressicollis",1,"https://www.gbif.org/species/9911827","https://catalogo.biodiversidad.co/file/56e76ec083c45700544e3ff2/summary","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Dichotomius"
"3307","Dichotomius inachoides",13,"https://www.gbif.org/species/1092994",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Dichotomius"
"3308","Dichotomius nisus",4,"https://www.gbif.org/species/1093017","https://catalogo.biodiversidad.co/file/56e7708283c45700544e3ffa/summary","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Dichotomius"
"3309","Dichotomius protectus",669,"https://www.gbif.org/species/1093032","https://catalogo.biodiversidad.co/file/56e771da83c45700544e3ffe/summary","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Dichotomius"
"3310","Dichotomius satanas",51,"https://www.gbif.org/species/1093093","https://catalogo.biodiversidad.co/file/56e772cc83c45700544e4004/summary","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Dichotomius"
"3311","Dichotomius tristis",8,"https://www.gbif.org/species/1093072",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Dichotomius"
"3312","Dicksonia karsteniana",5,"https://www.gbif.org/species/5687360",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Dicksoniaceae","Dicksonia"
"3313","Dicksonia sellowiana",49,"https://www.gbif.org/species/7309859",NA,"Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Dicksoniaceae","Dicksonia"
"3314","Diclidanthera bolivarensis",1,"https://www.gbif.org/species/4051113",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Polygalaceae","Diclidanthera"
"3315","Diclidanthera penduliflora",3,"https://www.gbif.org/species/7293509",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Polygalaceae","Diclidanthera"
"3316","Dicliptera batilliformis",1,"https://www.gbif.org/species/5576126",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Dicliptera"
"3317","Dicliptera cleistogama",3,"https://www.gbif.org/species/5575945",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Dicliptera"
"3318","Dicliptera garciae",5,"https://www.gbif.org/species/5575788",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Dicliptera"
"3319","Dicliptera haughtii",6,"https://www.gbif.org/species/5575723",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Dicliptera"
"3320","Dicliptera scandens",1,"https://www.gbif.org/species/5575078",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Dicliptera"
"3321","Dicliptera squarrosa",1,"https://www.gbif.org/species/7264147",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Dicliptera"
"3322","Dicranella callosa",1,"https://www.gbif.org/species/5282154",NA,"Plantae","Bryophyta","Bryopsida","Dicranales","Dicranellaceae","Dicranella"
"3323","Dicranella ditissima",2,"https://www.gbif.org/species/5282089","https://catalogo.biodiversidad.co/file/61c4ef9db1bd73ea384c0b2a/summary","Plantae","Bryophyta","Bryopsida","Dicranales","Dicranellaceae","Dicranella"
"3324","Dicranella hilariana",8,"https://www.gbif.org/species/5282158",NA,"Plantae","Bryophyta","Bryopsida","Dicranales","Dicranellaceae","Dicranella"
"3325","Dicranella strumulosa",6,"https://www.gbif.org/species/5282060","https://catalogo.biodiversidad.co/file/61c4f046fbe828223935aee1/summary","Plantae","Bryophyta","Bryopsida","Dicranales","Dicranellaceae","Dicranella"
"3326","Dicranella vaginata",3,"https://www.gbif.org/species/7491137",NA,"Plantae","Bryophyta","Bryopsida","Dicranales","Dicranellaceae","Dicranella"
"3327","Dicranolejeunea axillaris",14,"https://www.gbif.org/species/2688771",NA,"Plantae","Marchantiophyta","Jungermanniopsida","Porellales","Lejeuneaceae","Dicranolejeunea"
"3328","Dicranoloma robustum",4,"https://www.gbif.org/species/2675581",NA,"Plantae","Bryophyta","Bryopsida","Dicranales","Dicranaceae","Dicranoloma"
"3329","Dicranopteris flexuosa",3,"https://www.gbif.org/species/5275374",NA,"Plantae","Tracheophyta","Polypodiopsida","Gleicheniales","Gleicheniaceae","Dicranopteris"
"3330","Dicranopteris schomburgkiana",1,"https://www.gbif.org/species/5579223",NA,"Plantae","Tracheophyta","Polypodiopsida","Gleicheniales","Gleicheniaceae","Dicranopteris"
"3331","Dicranum frigidum",152,"https://www.gbif.org/species/2675484",NA,"Plantae","Bryophyta","Bryopsida","Dicranales","Dicranaceae","Dicranum"
"3332","Dictyocaryum lamarckianum",1,"https://www.gbif.org/species/2731988",NA,"Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Dictyocaryum"
"3333","Dictyonema giganteum",1,"https://www.gbif.org/species/7791678",NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Dictyonema"
"3334","Dictyonema obscuratum",6,"https://www.gbif.org/species/7722458",NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Dictyonema"
"3335","Dictyostega orobanchoides",4,"https://www.gbif.org/species/2756396",NA,"Plantae","Tracheophyta","Liliopsida","Dioscoreales","Burmanniaceae","Dictyostega"
"3336","Didelphis marsupialis",54,"https://www.gbif.org/species/2439920","https://catalogo.biodiversidad.co/file/5a00f034b255d98254bc9ca6/summary","Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Didelphis"
"3337","Didelphis pernigra",24,"https://www.gbif.org/species/2439919","https://catalogo.biodiversidad.co/file/5e3c6e487312d26d51df5d6d/summary","Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Didelphis"
"3338","Didymella exigua",4,"https://www.gbif.org/species/2614118",NA,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella"
"3339","Didymodon acutus",1,"https://www.gbif.org/species/5711152",NA,"Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Didymodon"
"3340","Didymodon icmadophilus",1,"https://www.gbif.org/species/5711135",NA,"Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Didymodon"
"3341","Didymodon laevigatus",14,"https://www.gbif.org/species/5280222",NA,"Plantae","Bryophyta","Bryopsida","Pottiales","Pottiaceae","Didymodon"
"3342","Didymoglossum hymenoides",1,"https://www.gbif.org/species/3607628",NA,"Plantae","Tracheophyta","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Didymoglossum"
"3343","Didymoglossum punctatum",1,"https://www.gbif.org/species/3607318",NA,"Plantae","Tracheophyta","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Didymoglossum"
"3344","Didymoglossum reptans",4,"https://www.gbif.org/species/7315542",NA,"Plantae","Tracheophyta","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Didymoglossum"
"3345","Didymogonyx geminatum",7,"https://www.gbif.org/species/7349783",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Didymogonyx"
"3346","Didymogonyx longispiculatum",4,"https://www.gbif.org/species/7890398",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Didymogonyx"
"3347","Didymopanax morototoni",50,"https://www.gbif.org/species/3038523",NA,"Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","Didymopanax"
"3348","Dieffenbachia humilis",1,"https://www.gbif.org/species/2869409",NA,"Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Dieffenbachia"
"3349","Dieffenbachia oerstedii",4,"https://www.gbif.org/species/2869429","https://catalogo.biodiversidad.co/file/56df5a9483c45700544e3c68/summary","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Dieffenbachia"
"3350","Dieffenbachia pajaritensis",1,"https://www.gbif.org/species/7803888",NA,"Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Dieffenbachia"
"3351","Dieffenbachia parlatorei",1,"https://www.gbif.org/species/2869461","https://catalogo.biodiversidad.co/file/56df62fc83c45700544e3c6d/summary","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Dieffenbachia"
"3352","Dieffenbachia seguine",44,"https://www.gbif.org/species/2869345","https://catalogo.biodiversidad.co/file/56df642083c45700544e3c6f/summary","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Dieffenbachia"
"3353","Digitalis purpurea",72,"https://www.gbif.org/species/5414995","https://catalogo.biodiversidad.co/file/56cfcb063c16479905cba804/summary","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Digitalis"
"3354","Digitaria andicola",3,"https://www.gbif.org/species/5676623",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Digitaria"
"3355","Digitaria bicornis",1,"https://www.gbif.org/species/5289968","https://catalogo.biodiversidad.co/file/56e7844383c45700544e4099/summary","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Digitaria"
"3356","Digitaria californica",3,"https://www.gbif.org/species/5289937",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Digitaria"
"3357","Digitaria cardenasiana",2,"https://www.gbif.org/species/5676379","https://catalogo.biodiversidad.co/file/56e7846183c45700544e409b/summary","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Digitaria"
"3358","Digitaria insularis",1,"https://www.gbif.org/species/5289938","https://catalogo.biodiversidad.co/file/56e7858283c45700544e40ae/summary","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Digitaria"
"3359","Digitaria sacchariflora",2,"https://www.gbif.org/species/5675267",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Digitaria"
"3360","Diglossa albilatera",1094,"https://www.gbif.org/species/5230649","https://catalogo.biodiversidad.co/file/56c52c15f0106c67230e739a/summary","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Diglossa"
"3361","Diglossa caerulescens",1176,"https://www.gbif.org/species/7342083",NA,"Animalia","Chordata","Aves","Passeriformes","Thraupidae","Diglossa"
"3362","Diglossa cyanea",1133,"https://www.gbif.org/species/7342077","https://catalogo.biodiversidad.co/file/56c53387f0106c67230e739b/summary","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Diglossa"
"3363","Diglossa humeralis",1636,"https://www.gbif.org/species/5230680","https://catalogo.biodiversidad.co/file/56c53c72f0106c67230e739c/summary","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Diglossa"
"3364","Diglossa lafresnayii",668,"https://www.gbif.org/species/5230669","https://catalogo.biodiversidad.co/file/56c6604df0106c67230e73bc/summary","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Diglossa"
"3365","Diglossa sittoides",169,"https://www.gbif.org/species/5230689","https://catalogo.biodiversidad.co/file/56c66856f0106c67230e73c1/summary","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Diglossa"
"3366","Dimerandra elegans",8,"https://www.gbif.org/species/2815839",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Dimerandra"
"3367","Dimerandra emarginata",5,"https://www.gbif.org/species/2815832","https://catalogo.biodiversidad.co/file/56df6a8d83c45700544e3c73/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Dimerandra"
"3368","Dimerocostus cryptocalyx",11,"https://www.gbif.org/species/2756988",NA,"Plantae","Tracheophyta","Liliopsida","Zingiberales","Costaceae","Dimerocostus"
"3369","Dimerocostus strobilaceus",20,"https://www.gbif.org/species/2756979",NA,"Plantae","Tracheophyta","Liliopsida","Zingiberales","Costaceae","Dimerocostus"
"3370","Dinoderus minutus",1,"https://www.gbif.org/species/1095721",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Bostrichidae","Dinoderus"
"3371","Dinomys branickii",4,"https://www.gbif.org/species/2437612","https://catalogo.biodiversidad.co/file/56c4b8f2f0106c67230e7388/summary","Animalia","Chordata","Mammalia","Rodentia","Dinomyidae","Dinomys"
"3372","Dioclea guianensis",1,"https://www.gbif.org/species/5359611",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Dioclea"
"3373","Dioclea lehmannii",2,"https://www.gbif.org/species/5359619",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Dioclea"
"3374","Dioclea sericea",10,"https://www.gbif.org/species/5359628",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Dioclea"
"3375","Dioclea virgata",4,"https://www.gbif.org/species/5359626",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Dioclea"
"3376","Diodonopsis erinacea",4,"https://www.gbif.org/species/2783410","https://catalogo.biodiversidad.co/file/56df6cda83c45700544e3c75/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Diodonopsis"
"3377","Diogenesia floribunda",1,"https://www.gbif.org/species/4172525",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Diogenesia"
"3378","Diogenesia tetrandra",3,"https://www.gbif.org/species/4172443",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Diogenesia"
"3379","Dioicodendron dioicum",19,"https://www.gbif.org/species/2907597",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Dioicodendron"
"3380","Dione glycera",23,"https://www.gbif.org/species/5129257",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Dione"
"3381","Dione juno",11,"https://www.gbif.org/species/5925238",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Dione"
"3382","Dione moneta",2,"https://www.gbif.org/species/8367663",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Dione"
"3383","Dione vanillae",6,"https://www.gbif.org/species/11701883",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Dione"
"3384","Diorygma antillarum",3,"https://www.gbif.org/species/7624255",NA,"Fungi","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae","Diorygma"
"3385","Diorygma epiglaucum",1,"https://www.gbif.org/species/5474555",NA,"Fungi","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae","Diorygma"
"3386","Dioscorea acanthogene",2,"https://www.gbif.org/species/2755313","https://catalogo.biodiversidad.co/file/5ff354d04c1bb4ce7b04f4a8/summary","Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","Dioscorea"
"3387","Dioscorea amazonum",1,"https://www.gbif.org/species/2755345",NA,"Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","Dioscorea"
"3388","Dioscorea chaponensis",13,"https://www.gbif.org/species/2754784",NA,"Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","Dioscorea"
"3389","Dioscorea chondrocarpa",1,"https://www.gbif.org/species/2755753",NA,"Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","Dioscorea"
"3390","Dioscorea choriandra",5,"https://www.gbif.org/species/2754419",NA,"Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","Dioscorea"
"3391","Dioscorea coriacea",24,"https://www.gbif.org/species/2754450","https://catalogo.biodiversidad.co/file/5fe1fa43e8fc59376adedac7/summary","Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","Dioscorea"
"3392","Dioscorea glandulosa",4,"https://www.gbif.org/species/2754536",NA,"Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","Dioscorea"
"3393","Dioscorea lawrancei",12,"https://www.gbif.org/species/2755209",NA,"Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","Dioscorea"
"3394","Dioscorea lehmannii",2,"https://www.gbif.org/species/2754942","https://catalogo.biodiversidad.co/file/5ff34dd93417029a60b88151/summary","Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","Dioscorea"
"3395","Diospyros goudotii",1,"https://www.gbif.org/species/4070622",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Ebenaceae","Diospyros"
"3396","Diphasiastrum complanatum",4,"https://www.gbif.org/species/2688424",NA,"Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales","Lycopodiaceae","Diphasiastrum"
